identifier,gidro_num,namelong,lat,lon,namewater,codbasin
48924,48924,ЛОНГАСЫ - ОЗ.ОНЕЖСКОЕ,61.98,35.21,ОЗ.ОНЕЖСКОЕ,020
48933,48933,МЕДВЕЖЬЕГОРСК - ОЗ.ОНЕЖСКОЕ,62.9,34.45,ОЗ.ОНЕЖСКОЕ,020
48943,48943,МАЯЧНЫЙ - ОЗ.ОНЕЖСКОЕ,60.5722222222222,28.4252777777778,ОЗ.ОНЕЖСКОЕ,020
48944,48944,СУОЯРВИ - ОЗ.СУОЯРBИ,62.1,32.38,ОЗ.СУОЯРBИ,020
48949,48949,СЯМОЗЕРО - ОЗ.СЯМОЗЕРО,61.88,33.28,ОЗ.СЯМОЗЕРО,020
48970,48970,ТИВДИЯ - ВДХР.САНДАЛЬСКОЕ,62.56,33.95,ВДХР.САНДАЛЬСКОЕ,020
48978,48978,КУГАНАВОЛОК - ВДХР.BОДЛОЗЕРСКОЕ,62.14,36.53,ВДХР.BОДЛОЗЕРСКОЕ,020
48987,48987,ПОВЕНЕЦ - BДХР.BОЛОЗЕРСКОЕ,62.91,34.9,BДХР.BОЛОЗЕРСКОЕ,020
49001,49001,СОФПОРОГ - Р.КОBДА,65.8,31.41,Р.КОBДА,020
49014,49014,ПЯОЗЕРСКИЙ - Р.КОРПИ-ЙОКИ,65.78,31.06,Р.КОРПИ-ЙОКИ,020
49017,49017,АЛАКУРТТИ - р. Тумча - Р.ТУМЧА,66.95,30.45,Р.ТУМЧА,020
49026,49026,ГРИДИНО - Р.ГРИДИНА,65.9138888888889,34.6350555555556,Р.ГРИДИНА,020
49030,49030,КУЗЕМА - Р.КУЗЕМА,65.3750555555556,34.2337222222222,Р.КУЗЕМА,020
49031,49031,ПОНЬГОМА - Р.ПОНЬГОМА,65.3308888888889,34.3971111111111,Р.ПОНЬГОМА,020
49042,49042,КЕМЬ - Р.КЕМЬ,64.95,34.61,Р.КЕМЬ,020
49047,49047,ВОКНАВОЛОК - Р.СУДНО,64.93,30.43,Р.СУДНО,020
49048,49048,ВОЙНИЦА - Р.BОЙНИЦА,65.2,30.35,Р.BОЙНИЦА,020
49052,49052,КАЛЕВАЛА - Р.УХТА,65.21,31.15,Р.УХТА,020
