identifier,count,name,namewater,codbasin,lat,lon
70393,1,ОСЬКИНО,Р.ЕДОМА,030,64.91,45.95
10287,24,Красулино,р. Ускат,152,54.02,87.1
3327,1,ВИЛЮЙСК,Р.BИЛЮЙ,174,63.77,121.62
10036,4,КАЗЫМ-МЫС - р.Обь,Р.ОБЬ,153,64.6666666666667,65.6333333333333
8374,1,КАМЕНКА,Р.КАМЕНКА,162,58.56,95.86
8249,32,ПОКОСНОЕ,Р.БАДА,162,55.5,101.0
3355,3,ЗАХАР,Р.УЛАХАН БОТУОБУЙА,174,62.72,112.62
10010,4,Камень-на-Оби (ГП при Камень-на-Оби М),р. Обь,152,53.49,81.16
5190,1,СПАССК-ДАЛЬНИЙ,Р.СПАСОBКА,181,44.36,132.51
10501,4,ЛЯНТОР - р. Пим,Р.ПИМ,152,61.6166666666667,72.1500027777778
3291,8,БУЯГА (ГП ПРИ БУЯГА М),Р.АМГА,173,59.67,127.05
7112,2,УСТЬ-УНГО-р.Унго,Р.УНГО,163,50.88,108.62
3429,3,ЕКЮЧЧЮ (ГП ПРИ ЕКЮЧЮ М),Р. ДУЛГАЛААХ,177,66.77,131.6
70345,2,ГОРА,Р.СУРА,030,63.53,45.61
70512,7,КАРТАЙОЛЬ,Р.ИЖМА,030,64.51,53.33
7036,5,СОБОЛИХА-р.Турка,Р.ТУРКА,163,52.92,108.4
72610,1,ИЗВОЗ,Р. BРУДА,020,59.2,29.18
72033,1,СЯСЬСКИЕ РЯДКИ,КАНАЛ СТАРО-ЛАДОЖСКИЙ,020,60.15,32.5
70403,1,ВОЛОКОВАЯ,Р.ПЕША,030,66.5,48.25
70165,27,ВЕРХОЛУЗЬЕ,Р.ЛУЗА,030,59.9,48.7
3422,1,ЮНКЮР,Р.САРТАНГ,177,66.3,132.82
8290,1,КАРАБУЛА,Р.КАРАБУЛА,162,58.03,97.38
10233,1,Теба,р. Томь,152,53.38,88.33
70362,2,ПАТРАКЕЕВСКАЯ,Р.МУДЬЮГА,030,64.96,40.5
70499,1,ХОРЕЙ- ВЕР,"Р.КОЛBА, БАСС.Р.ПЕЧОРА",030,67.43,58.01
70117,34,ТРОИЦЕ-ЕНАЛЬСКОЕ,Р.КУБЕНА,030,60.55,40.41
10205,1,Старый Искитим,р. Бердь,152,54.37,83.24
3248,7,УСТЬ-ТИМПТОН,Р.ТИМПТОН,173,58.65,127.05
8091,2,ТАТАРКА,Р.АНГАРА,162,58.21,93.36
6003,1,ИГНАШИНО (ГП ПРИ ИГНАШИНО М),Р. АМУР,181,53.47,122.4
3180,6,ТОККО,Р.ЧАРА,172,60.0,119.88
3365,5,ШАЛАГОНЦЫ (ГП ПРИ ШЕЛАГОНЦЫ М),Р.МАРХА,174,66.25,114.28
72569,21,ТОЛМАЧЕВО,Р.ЛУГА,020,58.86,29.88
10067,1,Малый Яломан,р. Катунь,151,50.29,86.36
8375,15,ЧЕРВЯНКА (ГП ПРИ ЧЕРВЯНКА М),Р.МУРА,162,57.65,99.53
3812,42,ТЮМЯТИ (ГП ПРИ ТЮМЯТИ Г),Р.ОЛЕНЕК,176,71.92,123.57
3812,42,ТЮМЯТИ,Р.ОЛЕНЕК,176,71.91,123.56
72731,2,БОЛЬШОЕ ЗАБОРОВЬЕ,Р.МДА,020,58.87,33.03
3035,1,ОЛЕКМИНСК (ГП ПРИ ОЛЕКМИНСК ОГМС),Р.ЛЕНА,171,60.37,120.42
3344,1,ЯСНЫЙ,Р.БАТЫР,174,63.37,111.93
3035,1,ОЛЕКМИНСК,Р. ЛЕНА,171,60.3666666666667,120.416666666667
3027,3,ВИТИМ (ГП ПРИ ВИТИМ АЭ),Р.ЛЕНА,171,59.45,112.583333333333
10329,1,Зырянское,р. Чулым,152,56.51,86.37
3334,13,ЧОНА,Р.ЧОНА,174,61.76,109.6
3882,12,АНДРЮШКИНО (ГП ПРИ АНДРЮШКИНО АМСГ),Р.АЛАЗЕЯ,177,69.17,154.5
3872,3,ЧОКУРДАХ (ГП ПРИ ЧОКУРДАХ АМСГ),Р.ИНДИГИРКА,770,70.6166666666667,147.883333333333
72192,1,ДОМАЧЕВО,Р.ДЫМКА,020,59.56,33.81
10048,1,Бийск,р. Бия,151,52.33,85.17
8339,7,ГЕОРГИЕВКА,Р.ТАГУЛ,162,55.53,97.6
10048,1,Бийск (ГП при Бийск Г),р. Бия,151,52.33,85.17
72227,1,СЯБРЕНИЦЫ,Р.КЕРЕСТЬ,020,59.13,31.63
3383,2,ХАБАРДИНО (ГП ПРИ ХАБАРДИНО М),Р.МОРКОКА,174,64.6,112.52
84133,1,ГРЕБЕНСКАЯ,р. Терек,082,43.5,46.3833333333333
72510,2,ЗАПОЛЬЕ,Р.ШЕЛОНЬ,020,58.05,30.1
10204,2,Маслянино (ГП при Маслянино М),р. Бердь,152,54.21,84.13
3225,1,ОХОТСКИЙ ПЕРЕВОЗ (ГП ПРИ ОХОТСКИЙ ПЕРЕВОЗ Г),Р.АЛДАН,173,61.87,135.5
3225,1,ОХОТСКИЙ ПЕРЕВОЗ,Р.АЛДАН,173,61.8666666666667,135.5
10251,4,Томск (ГП при Томский ЦГМС),р. Томь,152,56.3,84.55
3407,6,СУХАНА (ГП ПРИ СУХАНА М),Р.ОЛЕНЕК,176,68.62,118.33
84165,3,ДАРГАВС,р. Гизельдон,082,42.8333333333333,44.4333333333333
70212,4,ЛУНЬ ,"Р.BИШЕРА, БАСС. Р.СЕВ.ДВИНА",030,62.23,52.48
3037,1,ХАТЫНГ-ТУМУЛ,Р.ЛЕНА,171,60.58,122.88
70288,4,ШЕЛЮБИНСКОЕ,Р.ПЕЖМА,030,61.02,41.88
3560,10,ДАЛЬНИЙ,Р.УЛАХАН-ЭДЬЭК,174,63.58,110.05
3074,3,РУЧЕЙ,Р.КУТА,171,56.86,105.05
70221,8,ПЕРВОМАЙСКИЙ,Р.СЫСОЛА,030,61.11,50.3
8328,1,СОЛЯНАЯ,Р.БИРЮСА,162,55.53,97.81
10219,28,Кайлы,р. Иня,152,55.19,84.06
7080,1,АЦА-р.Аса (Аца),Р.АСА(АЦА),163,50.45,109.55
70180,11,МАЛАЯ КУЖБА,Р.BЫЧЕГДА,030,61.76,53.66
8412,5,ПОРОГ,Р.УДА,162,54.53,99.25
72463,10,ВЗВАД,Р.ЛОBАТЬ,020,58.17,31.48
72269,2,ПОТЕРПЕЛИЦЫ,Р.МСТА,020,58.42,33.88
70209,14,ВЕРХНЯЯ ВОЧЬ,Р.BОЧЬ,030,61.13,54.2
10292,7,Медвежка,р. Тайдон,152,54.5,87.32
70329,3,СЕВЕРНЫЙ,Р.ПИНЕГА,030,63.0,46.83
83460,11,САДОВОЕ,р. Псекупс,081,44.38,39.17
10451,2,ЛОСИНОБОРСКОЕ,Р.КЕТЬ,152,58.43,89.37
10451,2,ЛОСИНОБОРСКОЕ (ГП ПРИ ЛОСИНОБОРСКОЕ М),Р.БОЛЬШАЯ КЕТЬ (КЕТЬ),152,58.43,89.36
10022,1,Каргасок (ГП при Каргасок М),р. Обь,152,59.04,80.53
70200,4,ФЕДЯКОВО,Р.BЫЧЕГДА,030,61.43,47.65
10571,18,ПОДСОСНОЕ,Р.ЧУЛЫМ,152,55.85,91.0
3821,64,КЮСЮР (ГП ПРИ КЮСЮР Г),Р.ЛЕНА,171,70.68,127.4
3821,64,КЮСЮР,Р.ЛЕНА,171,70.68,127.4
70436,4,ЕРМИЦЫ,Р.ПЕЧОРА,030,66.92,52.33
3816,1,УСТЬ-ОЛЕНЕК (ГП ПРИ М УСТЬ-ОЛЕНЕК),Р.ОЛЕНЕК,176,73.0,119.87
83350,1,МАЙКОП,р. Белая,081,44.5,40.17
83350,1,ГРОЗНЫЙ (ГП ПРИ МАЙКОП Г),р. Белая,081,44.5333333333333,40.1333333333333
70214,16,ЛОПЫДИНО,Р.ЛОКЧИМ,030,61.13,52.13
3616,28,ПУР (ГП ПРИ ТЮМЯТИ Г),Р.БУУР,176,71.78,123.32
5290,1,ВЕДЕНКА,Р.МАЛИНОBКА,181,45.53,133.54
6329,2,с. УНАХА,Р.УНАХА,181,55.0333333333333,126.8
10567,2,Мундыбаш,р. Тельбес,152,53.13,87.18
70494,22,ХАРУТА,Р.АДЗЬBА,030,66.83,59.5
72130,2,ЛАДВА,Р.ИBИНА,020,61.33,34.61
70540,12,КОТКИНО ,"Р.СУЛА, БАСС.Р.ПЕЧОРА",030,67.01,51.2
7043,1,УСТЬ-КЯХТА-р.Селенга,Р.СЕЛЕНГА,163,50.53,106.25
3367,1,МАЛЫКАЙ,Р.МАРХА,174,63.5,117.03
8329,1,ТАЛАЯ,Р.БИРЮСА,162,55.6,97.75
3031,19,НЮЯ (ГП ПРИ НЮЯ МП),Р.ЛЕНА,171,60.53,116.23
10324,1,АЧИНСК,Р.ЧУЛЫМ,152,56.28,90.52
10324,1,АЧИНСК (ГП ПРИ АЧИНСК ГМО),Р.ЧУЛЫМ,152,56.28,90.51
70844,6,МАЛОНИСОГОРСКАЯ,"МОРЕ БЕЛОЕ, Р.МЕЗЕНЬ",030,65.0,45.61
3083,14,КАРАМ (ГП ПРИ КАРАМ М),Р.КИРЕНГА,171,55.15,107.62
10137,17,Бугрышиха,р. Белая,151,51.17,82.48
3258,3,ХАТЫМИ,Р.БОЛЬШАЯ ХАТАМИ,173,57.37,124.9
10497,1,РУССКИНСКАЯ - р.Тром-Юган,Р.ТРОМ-ЮГАН,152,62.15,73.6666666666667
6453,1,УСТЬ-УМАЛЬТА,Р.БУРЕЯ,181,51.63,133.27
6453,1,УСТЬ-УМАЛЬТА (ГП ПРИ УСТЬ-УМАЛЬТА М),Р.БУРЕЯ,181,51.63,133.31
70334,11,КУЛОГОРЫ,Р.ПИНЕГА,030,64.7,43.41
70250,1,ТОХТА,Р.ЯРЕНГА,030,62.23,48.9
72592,2,УРОЧИЩЕ ОРЛИНКА,Р.ОРЛИНКА,020,59.33,30.18
3221,8,ЧАГДА,Р.АЛДАН,173,58.73,130.62
10380,3,БОЛЬШОЙ КЕМЧУГ,Р.КЕМЧУГ(БОЛЬШОЙ КЕМЧУГ),152,56.13,91.6
8300,5,ХАДАМА (ГП ПРИ ХАДАМА М),Р.УДА,162,53.95,98.81
3483,1,АСАР,Р.БЫТАНТАЙ,177,68.62,134.12
6456,1,УСТЬ-НИМАН,Р.БУРЕЯ,181,51.4,132.72
8304,3,НИЖНЕУДИНСК,Р.УДА,162,54.88,99.03
8304,3,НИЖНЕУДИНСК,Уда,162,54.88,99.03
8296,3,МАШУКОВКА,Р.ТАСЕЕBА,162,57.81,94.31
10034,1,ГОРКИ - р.Обь,Р.ОБЬ,152,65.0333333333333,65.3666666666667
10132,2,Белоглазово,р. Чарыш,151,52.06,82.33
5469,1,ТУМНИН,Р.ТУМНИН,182,49.65,140.08
5469,1,ТУМНИН (ГП ПРИ ТУМНИН М),Р.ТУМНИН,182,49.65,140.08
70275,7,ФИЛЯЕВСКАЯ,Р.BАГА,030,61.1266666666667,42.1911111111111
3292,6,АМГА,Р.АМГА,173,60.9,131.983333333333
3237,3,ЯКОКИТ,Р.ЯКОКИТ,173,58.9,125.8
3881,2,АРГАХТАХ,р.АЛАЗЕЯ,177,68.5,153.42
3264,2,ЧЮЛЬБЮ (ГП ПРИ ЧЮЛЬБЮ М),Р.УЧУР,173,57.77,130.9
70584,1,КИПШЕНГА,Р.КИПШЕНГА,030,59.66,45.25
3293,1,ТЕРЮТЬ,Р.АМГА,173,62.22,134.12
70147,5,АНИСИМОВО,Р.СТРЕЛЬНА,030,60.6,45.62
83411,3,ШАБАНОВСКОЕ,р. Шебш,081,44.57,38.8
3068,5,ЗНАМЕНКА,Р.ИЛГА,171,54.72,104.85
8241,2,УЙГАТ,Р.КИРЕЙ,162,54.08,100.6
10323,1,КРАСНЫЙ ЗАВОД,Р.ЧУЛЫМ,152,56.18,90.0
5211,8,ХАЛКИДОН,Р.ИЛИСТАЯ,181,44.16,132.24
5211,8,ХАЛКИДОН (ГП ПРИ ХАЛКИДОН Г),Р.ИЛИСТАЯ,181,44.16,132.24
7125,4,ХОРИНСК,,,52.17,109.78
3579,21,ЛАВИНДА,Р.ЧУРКУО,174,63.32,109.42
70361,30,ИЖМА,Р.ИЖМА,030,64.72,40.78
70069,7,СИДОРОВСКАЯ,Р.СЕBЕРНАЯ ДBИНА,030,62.71,43.3
7050,7,УЛАН-УДЭ (ГП ПРИ УЛАН-УДЭ ОГМС)-р.Селенга,Р.СЕЛЕНГА,163,51.85,107.57
70399,11,САФОНОВО,Р.ПЕЗА,030,65.68,47.68
8334,4,ШИТКИНО (ГП ПРИ ШИТКИНО М),Р.БИРЮСА,162,56.37,98.37
10175,1,Кытманово,р. Чумыш,152,53.28,85.27
70139,2,ПЕТРИЛОВО,Р.ТИКСНА,030,59.7,41.98
3310,14,УСТЬ-АМБАРДАХ,Р.BИЛЮЙ,174,64.08,109.58
70036,1,ФЕДОСЕЕВСКАЯ,Р.ЛЕПША,030,62.12,40.67
5239,2,ИЛЬИНКА,Р.КОМИССАРОBКА,181,44.55,131.57
70351,6,ШИРОКОЕ,Р.ЕЖУГА,030,64.3,44.61
70129,6,НОВОЕ,Р.ЕМА,030,59.11,39.66
70211,2,КЛИМОВО,Р.ПРУПТ,030,61.28,53.66
10660,3,Зеленовский,р. Уньга,152,55.0,86.24
10021,2,Колпашево (ГП при Колпашевская ГМО),р. Обь,152,58.19,82.53
70549,13,ВОДОГИНО,Р.ТОШНЯ,030,59.21,39.6
10264,7,Усть-Кабырза (ГП при Усть-Кабырза М),р. Мрас-Су,152,52.5,88.27
10306,2,Пономаревка,р. Шегарка,152,56.08,82.22
3625,4,МАЙСКИЙ,Р.ИЧОДА,174,61.63,111.17
10030,1,СЫТОМИНО (ГП ПРИ СЫТОМИНО М) - р.Обь пр. Сытоминка,"Р.ОБЬ,  ПРОТОКА СЫТОМИНКА",152,61.3,71.3166666666667
3825,7,ИМ.Ю.А.ХАБАРОВА,Р.ЛЕНА,175,72.4,126.35
3825,7,ХАБАРОВА (ГП ПРИ ХАБАРОВА Г),Р.ЛЕНА,175,72.4,126.35
10030,1,СЫТОМИНО,Р.ОБЬ ПРОТОКА СЫТОМИНКА,152,61.3019444444444,71.3019444444444
70847,5,ДОРОГОРСКОЕ,"МОРЕ БЕЛОЕ, Р.МЕЗЕНЬ",030,65.58,44.51
5055,1,БИРАКАН,Р.БОЛЬШАЯ БИРА,181,48.98,131.72
10310,6,Пихтовка,р. Бакса,152,56.0,82.42
10276,3,Кондома (ГП при Кондома М),р. Кондома,152,52.49,87.16
3445,16,УРДЮК-КУМАХ,Р.АДЫЧА,177,68.02,135.28
70614,2,МАКАРОВО,Р.BОЛОГДА,030,59.36,39.33
10416,4,Новорождественский,р. Китат,532,56.29,86.0
